questionid,author,question,options,answer,concept
12090402,蔡聿晽,小天鵝上禮拜跟我說他改名了，從小天鵝改成老天鵝。隔了一天跟他打招呼時我卻又叫他小天鵝，當然突然要換名字叫的確會適應不過來，但隔了好幾年到現在，叫他的時候我還是會不小心先叫成小天鵝，而且腦中也會一直出現「小天鵝」而不是「老天鵝」。請問，這種常見的狀況是屬於？,"1.順攝助長,    2.順攝抑制,    3.倒攝助長,    4.倒攝抑制,    ",2,順設助長、順設抑制、倒攝助長、倒攝抑制 
12090403,蔡聿晽,俊亨小時候很會游泳，大家都叫他小菲爾普斯，但因為讀書的關係很久沒時間訓練游泳了，到高中時久違的到了泳池，他很怕下水卻不會游，但令他意外的是他竟然下水沒多久，身體就自然而然的回想起以前小時候游泳的方法及技巧。請問俊亨為什麼會這樣？,"1.身體提取以前的工作記憶並自動化,    2.身體提取以前的程序性記憶並自動化,    3.身體複誦了以前的感官收錄,    4.身體複誦了以前的肢覺記憶,    ",2,程序性記憶、自動化
12090404,蔡聿晽,倫倫已經有好幾年沒玩跑跑卡丁車了，今天君君約他來pk，本來倫倫想說已經很久沒玩都忘記怎麼玩了而且一定會輸得很慘，可是開始玩不到10分鐘，倫倫開始找回之前的手感，玩得相當好令他非常意外。請問，對倫倫來說，玩跑跑卡丁車的手感是屬於何種記憶？,"1.感官記憶,    2.短期記憶,    3.遊戲記憶,    4.程序性記憶,    ",4,程序性記憶
12090405,蔡聿晽,每次背英文單字，背了100個，考試時答對較多的都是最後背的十幾個單字，前面最開始背或中間的單字總是會忘記或拼錯。我們可以說這是什麼效應？,"1.新近效應,    2.自動化效應,    3.精緻化效應,    4.初始效應,    ",1,新近效應、初始效應
12820101,劉亭妤,伊恩看到燒開水時壺嘴開始冒出水蒸氣，就跟媽媽說水壺冒煙了，經過解釋後才知道是水蒸氣不是煙。請問上列敘述是屬於哪一種現象？,"1.基模,    2.同化,    3.調適,    4.發展,    ",3,同化、調適
12820102,劉亭妤,請問下列哪一個選項中所敘述的小朋友正處於具體運思期的狀態？,"1.安安看到媽媽奶嘴放在背後，之後又拿出來時會覺得媽媽是在變魔術。,    2.妮妮在玩剪刀石頭布的時候會先思考一下對方有可能出什麼後，再決定要出哪一個。,    3.媽媽拿了一片披薩給恩恩後幫他把披薩切成三塊，恩恩看到後就很開心得說披薩變多了。,    4.爸爸給天天三個不同大小的球，天天可以按照順序把球由大到小排列出來。,    ",4,物體恆存、假設推理、守恆、序列化、具體運思期
12820103,劉亭妤,下列哪一個選項敘述不是具體運思期會有的表現？,"1.小明最近剛學會算數，哥哥問2+3等於多少他可以正確回答5，他也知道5-2=3。,    2.當老師要同學們觀察天上的白雲時，小光會覺得所有人看到的雲都一樣。,    3.媽媽要求小白整理玩具，過了一段時間後小白就整理好了，而且還按照大小排整齊。,    4.爸爸告訴小童西瓜比鳳梨大，鳳梨比蘋果大，小童可以知道西瓜比蘋果大。,    ",2,可逆、自我中心、序列化、遞移、具體運思期
12820104,劉亭妤,小春跟家人一起去玩，路上看到冰淇淋的攤販便吵著要吃，後來爸爸買了給她跟姐姐各買兩球，姐姐的是用餅乾筒裝的，爸爸怕小春用髒所以給他用兩個小杯子裝起來，小春就覺得爸爸對她真好給他比較多。請由上列敘述來判斷一下，小春現在正處於哪一個階段？,"1.前運思期,    2.具體運思期,    3.形式運思期,    4.具體運思期,    ",0,有可能真的不一樣大
12820105,劉亭妤,A：具體運思期，B：感覺動作期，C：形式運思期，D：前運思期，上列所敘述的是皮亞傑認知發展四個階段，通常兒童在成長的過程中都會經歷過這四個時期。請按照兒童在這四個階段的年齡由大至小做排列。,"1.CDAB,    2.BDAC,    3.CADB,    4.BADC,    ",2,發展階段論
12820201,劉亭妤,老師在上課時要求同學們要以小組的方式完成作業，雖然在過程中有遇到一些問題，但在[經過老師的協助下仍順利完成]。請問括號內的行為是運用到哪個概念?,"1.鷹架架設,    2.合作學習,    3.近側發展區,    4.鷹架撤除,    ",1,鷹架構築
12820202,劉亭妤,小華在補習班當助教，每次上課都要幫學生改考卷，並統整每題答錯的人數與答錯時選的選項為何，在下次上課時給整理給老師，讓他[能夠於上課時針對誤答率較高的題目與選項做講解，減少同學下次遇到類似問題時答錯的機率]。請問括號內的敘述符合下列哪一種理論?,"1.楷模學習,    2.替代學習,    3.觀察學習,    4.自我調整,    ",0,題意需要再更清楚些
12820203,劉亭妤,甄梧寮很不喜歡上國文課，每次上課時都沒有認真上課，老師為了改善他這樣的行為，決定在上課時播些相關的小短片。請問老師這樣的行為屬於觀察學習的哪個階段?,"1.注意,    2.保留,    3.再生,    4.動機,    ",0,題意需要再更清楚些
12820204,劉亭妤,子曰：「見賢思齊焉，見不賢而內自省也。」這句話出自《論語》的里仁篇，意思為見到賢能的人，就應該主動向他學習、看齊；見到不賢能的人，就應該自我反省有沒有與他相類似的錯誤，以其為鑒，避免重蹈覆轍。請問上述並沒有提到哪一個理論?,"1.楷模學習,    2.替代學習,    3.觀察學習,    4.合作學習,    ",4,替代學習、楷模學習、觀察學習
12820205,劉亭妤,語潔剛開始教妹妹騎腳踏車時會在後面扶著以防她跌到，之後慢慢得放開手，等到有點不穩得時候再去扶腳踏車，到最後妹妹不需要扶著就能夠自行騎車了。請問上述運用到下列哪一個理論?,"1.合作學習,    2.近側發展區,    3.鷹架理論,    4.楷模學習,    ",3,鷹架
12820301,劉亭妤,在Skinner Box中，狗狗從原本聽到鈴聲沒反應，變成[一聽到鈴聲就會自動分泌口水]。請問括號內的敘述中，鈴聲所扮演的角色為何?,"1.制約反應,    2.操作制約,    3.中性刺激,    4.制約刺激,    ",0,
12820302,劉亭妤,小安很容易分心，每次寫作業都要寫很久，媽媽想要他改掉這個壞習慣，所以跟小安約定，只要他可以在晚上6點前寫完做業，吃完晚餐後就可以不用洗碗。請問上述符合下列哪一項行為主義的理論?,"1.正增強,    2.負增強,    3.呈現型懲罰,    4.撤離型懲罰,    ",2,正增強、負增強
12820303,劉亭妤,自從媽媽跟小安做了在6點前寫完功課就不用洗碗的約定後，小安寫功課的速度變快了，可是媽媽發現他的字變得比較潦草，而且作業有比較多錯誤的地方。[於是媽媽又再跟小安做了一個約定，如果在6點前寫完作業，經過媽媽檢查後沒問題的話，那他就可以去玩半個小時的電腦。]請問括弧內的敘述是行為主義的哪一項理論?,"1.正增強,    2.負增強,    3.呈現型懲罰,    4.撤離型懲罰,    ",1,正增強、負增強
12820304,劉亭妤,老師要求搬上的小朋友們每週都要背唐詩，一個禮拜背完2首的同學就可以得到一個印章；背完4首的就可以得到兩個印章，只要集滿10個印章就可以抵罰寫一次。請問上述符合哪兩種行為主義的原則?,"1.固定時距；撤離型懲罰,    2.固定時距；負增強,    3.固定比例；負增強,    4.固定比例；撤離型懲罰,    ",3,固定比例、固定時距、正增強、負增強
12820305,劉亭妤,星語非常挑食，每次吃飯的時候常常剩一堆飯菜，爸爸告訴星語食物很珍貴不可以浪費，並規定只要有剩下的話晚上就不能看電視。姐姐告訴她，可以像她一樣先把不喜歡的東西吃掉，再吃自己喜歡的，這樣就會全部吃完了。請問上述爸爸跟姐姐分別用了行為主義的哪個原則?,"1.爸爸:呈現型懲罰；姐姐:負增強,    2.爸爸:撤離型懲罰；姐姐:普力馬原則,    3.爸爸:普力馬原則；姐姐:撤離型懲罰,    4.爸爸:撤離型懲罰；姐姐:負增強,    ",2,普力馬原則、負增強、撤離型懲罰、呈現型懲罰
12820401,劉亭妤,苡蒨最近在背出師表，她發現自己開頭的地方背得很熟，可是到了中間就會忘記一兩個字或是少背一句。這樣的行為跟哪種理論有關？,"1.新近效應,    2.初始效應,    3.自動化,    4.語意記憶,    ",2,新近效應、初始效應
12820402,劉亭妤,通常我們在學習日語或韓語的時候會因為文法結構的不同而感到困擾，中文說：我 吃 飯，文法結構為：主詞-動詞-受詞；日文跟韓文說：我 飯 吃，文法結構為：主詞-受詞-動詞。可是當我們《學完其中一種語言後再去學習另外一種會變得比較容易一點》，上述括號內容是因為下列哪個理論所造成的？,"1.倒攝助長,    2.順攝助長,    3.順攝抑制,    4.倒攝抑制,    ",2,倒攝抑制、順攝抑制、倒攝助長、順攝助長
12820403,劉亭妤,棠棠習慣將考試內容整理成一本筆記並在考前反覆閱讀，寫考卷時看到題目就會想起來是在筆記中的哪一部分出現過。請問棠棠所運用的學習方式屬於哪一種？,"1.心像化,    2.字鉤法,    3.關鍵字法,    4.位置法,    ",1,認知策略
12820404,劉亭妤,寧寧小學時很喜歡溜直排輪，每個週末都會去附近的公園溜，上國中後因為課業繁忙就沒有再溜了，直到大學暑假朋友邀請她去溜直排輪才又再次接觸。剛開始有點生疏，過了一段時間後就像之前一樣溜得很好了，完全不像是很久沒碰的人。請問溜直排輪屬於哪種記憶呢？,"1.程序性記憶,    2.語意記憶,    3.情節記憶,    4.短期記憶,    ",1,情節記憶、語意記憶、程序性記憶
12820405,劉亭妤,萳萳為了讓同學們加深對課程內容的印象，每堂課都會找幾部影片來播放，考試時與影片內容有關的題目答對率也比較高。請問這是屬於下列哪種理論？,"1.處理層次論,    2.情節記憶,    3.雙碼理論,    4.程序性記憶,    ",3,雙碼理論
14490101,張儷庭,小狼從小聰明好學，在他學會加法後便想自學減法，但是他雖然看得懂5+1=6，卻一直無法正確回推6-1=5，這讓他非常沮喪，請問這是因為小狼處在認知發展中的哪個階段？,"1.感覺動作期,    2.具體運思期,    3.形式運思期,    4.前運思期,    ",4,可逆、前運思期
14490102,張儷庭,"請依照給的提示排列出以下小朋友的年紀：
(甲)桌上有一顆西瓜，媽媽用蓋子蓋住後，小智以為西瓜不見了
(乙)皮卡丘能夠由小排到大
(丙)小剛能夠有系統性的解決問題
(丁)小遙能夠做加法無法做減法","1.(乙)(甲)(丙)(丁),    2.(甲)(乙)(丁)(丙),    3.(甲)(丁)(乙)(丙),    4.(丙)(丁)(甲)(乙),    ",3,物體恆存、序列化、不可逆、問題解決、感覺動作期、前運思期、具體運思期、形式運思期
14490103,張儷庭,小櫻的媽媽有幫小櫻撰寫成長紀錄，在回味時發現小櫻在不同時期有不同的行為發生，(A)她看到球被布蓋起來會以為球不見了；(B)認為自己看到的就是別人看到的情景；(C)開始會排列順序和加減法；(D)能進行抽象思考。根據皮亞傑理論，排列出正確順序。,"1.感覺動作期、前運思期、具體運思期、形式運思期,    2.感覺動作期、具體運思期、前運思期、形式運思期,    3.形式運思期、具體運思期、前運思期、感覺動作期,    4.前運思期、具體運思期、感覺動作期、形式運思期,    ",1,物體恆存、自我中心、序列化、不可逆、抽象思考、感覺動作期、前運思期、具體運思期、形式運思期
14490104,張儷庭,袁湘琴和江直樹育有一女-江琴美。琴美在10歲時雖然有邏輯思考的概念，卻無法抽象思考；琴美在12歲時，不但能抽象思考還能解決問題。對於這個現象，湘琴感到好奇，請問琴美為什麼會有這樣的轉變？,"1.從形式運思期邁入感覺動作期,    2.從感覺動作期邁入具體運思期,    3.從具體運思期邁入形式運思期,    4.從前運思期邁入具體運思期,    ",3,具體運思期、形式運思期、抽象思考
14490105,張儷庭,下列為認知發展論個階段的特徵，請問何者屬於前運思期？,"1.自我中心,    2.序列化,    3.抽象思考,    4.物體恆存,    ",0,前運思期會具有物體恆存以及自我中心
14490201,張儷庭,小櫻最近在學習彈鋼琴，一開始，鋼琴老師會從旁告訴她琴譜該注意的地方、節拍及強弱音如何呈現。請問這是屬於鷹架理論的哪一個觀念？,"1.鷹架架設,    2.合作學習,    3.認知見習,    4.鷹架撤除,    ",1,鷹架構築、鷹架撤除
14490202,張儷庭,鋼琴老師為了讓小櫻更熟悉曲子，讓小櫻回家好好練習曲子，下次上課驗收。請問這是屬於觀察學習的哪個階段？,"1.注意,    2.保留,    3.再生,    4.動機,    ",3,保留、再生
14490203,張儷庭,為了被老師稱讚，小櫻在驗收時不留餘力的將練習成果展現出來。請問這是屬於觀察學習的哪一個階段？,"1.注意,    2.保留,    3.再生,    4.動機,    ",4,再生、動機
14490204,張儷庭,小櫻最近在學習彈鋼琴，一開始，鋼琴老師會從旁告訴她琴譜該注意的地方、節拍及強弱音如何呈現。當鋼琴老師教學完畢後，她便不再做提醒，讓小櫻自己能夠完整彈奏出曲子。請問這是屬於鷹架理念的哪個觀念？,"1.鷹架架設,    2.合作學習,    3.認知見習,    4.鷹架撤除,    ",0,14都有
14490205,張儷庭,每個人在每階段的學習程度不同，因此老師在教學上要考量整體學生們能不能達成老師設置的最終目標，請問這是出自鷹架理論的哪個概念？,"1.合作學習,    2.近側發展區,    3.鷹架架設,    4.鷹架撤除,    ",2,近側發展區
14490301,張儷庭,"(a)小楓的媽媽告訴小楓如果她考試得滿分就送她禮物
(b)亞西吉很討厭做家事，於是日高安純告訴亞西吉如果不想做家事就要幫她追到結木攝
(c)松竹因為考試考不好而受到父母挨罵
(d)結木攝因為做錯事而被媽媽禁足
以下敘述何者正確？","1.(a)是呈現型懲罰,    2.(b)是正增強,    3.(c)是負增強,    4.(d)是撤離型懲罰,    ",4,正增強、負增強、撤離型懲罰、呈現型懲罰
14490302,張儷庭,"(甲)姆路成績優異，父母給予讚美
(乙)莉露姆剛學會彈一首曲子，引起咪路注意且拍手讚好
(丙)咪路因為幫忙做家事所以可以去夏令營
(丁)帕比因為比賽得冠所以父母給予獎金獎勵
以下何者「錯誤」？","1.(甲)為原級增強物,    2.(乙)為社會增強物,    3.(丙)為活動增強物,    4.(丁)為代幣增強物,    ",0,超過一個答案
14490303,張儷庭,以下敘述何者「錯誤」？,"1.利用愉快和不愉快的後果來改變行為稱為操作制約,    2.媽媽要求小新要做完功課才可以看電視，這是屬於普利馬原則,    3.小渚因為考試考滿分，所以老師當著全班面前表揚她。這屬於正增強。,    4.要建立新行為時，最初對正確反應的增強應該是不頻繁且是可預測的的,    ",0,超過一個答案
14490304,張儷庭,明鈴喜歡寫小說，看過明鈴作品的同學都會讚美她寫得很棒，明鈴經由不斷努力提升自己的文筆技巧，最後終於成功出版她第一本小說，獲得很多青少年讀者的青睞，讓明鈴覺得努力是有成果的，請問下列何者正確？,"1.敘述中有包含原級增強物,    2.喜歡寫小說為內在增強物,    3.給予讚美為活動增強物,    4.給予讚美為先行物,    ",2,原級增強物、次級增強物、內在增強物
14490305,張儷庭,國文老師為了推廣讀詩活動於是訂出：「每一周有背5首詩的同學可得一個小禮物」這個活動持續了一年。請問這種獎勵方式採用行為主義學習理論的哪兩種方法？,"1.固定比例；固定時距,    2.固定比例；不固定時距,    3.不固定比例；固定時距,    4.不固定比例；不固定時距,    ",0,
14490401,張儷庭,露露在學完乘法後覺得自己可以多學除法，於是請媽媽教她除法的使用，但是不管媽媽教她再多遍，她一直被先前的乘法干擾，導致無法學會除法。請問露露在學除法時遇到的狀況是屬於認知心理學裡的哪個理論？,"1.倒攝抑制,    2.順攝抑制,    3.倒攝助長,    4.順攝助長,    ",2,倒攝抑制、順攝抑制、倒攝助長、順攝助長 
14490402,張儷庭,小海在學習騎腳踏車，從一開始的跌跌撞撞到現在能騎去任何地方，即使不需要特別思考，也能做出正確的反應。上述情形可以用哪一個心理學概念來解釋？,"1.基模修正,    2.工作記憶,    3.自動化,    4.雙碼理論,    ",3,自動化
14490403,張儷庭,今天是教育心理學的期中考，音音在寫完全部題目後只留下一題空著，這題題目寫著「有一理論認為，保留在長期記憶內的訊息有兩種形式-視覺和語文，兩者同時進行以增進學習效益」，請問正確答案是什麼？,"1.雙碼理論,    2.訊息處理理論,    3.chunking,    4.處理層次理論,    ",1,雙碼理論
14490404,張儷庭,今天是精靈王國運動會，小楓參加趣味競賽，其中一關是要從下列4個選項中，選擇正確的答案，選擇正確才能進入下一關，請幫小楓選擇正確答案。,"1.學習教人的方法可以有助於該方面知識的認知了解，稱為倒攝助長。,    2.當舊的概念會影響到新的概念時，此時會產生倒攝抑制困擾。,    3.教學影片同時出現老師講解的聲音和字幕，是運用到雙碼理論幫助學習者記憶。,    4.當老師在同一時間教導兩個相似觀念時，會讓學生產生順攝助長，幫助學習。,    ",3,倒攝抑制、順攝抑制、倒攝助長、順攝助長 、雙碼理論
14490405,張儷庭,娜娜在3歲時曾經在街上迷路而回不了家，最後是好心的警察伯伯帶她回警察局，最後她才被媽媽帶回家，這段迷路的過程她一直牢記在心裡。娜娜很好奇小時後發生的事情她為何記得那麼清楚，請問這可以用心理學的哪個概念解釋。,"1.語意記憶,    2.程序性記憶,    3.閃光燈記憶,    4.情節記憶,    ",3,閃光燈記憶
1020101,江雅婷,"小新在拿到任何東西，就喜歡敲打它。
小華知道3+1=4，但卻不知4-1=？
當蘋果被布蓋住時，小花就覺得蘋果不見了。
小美將球衣依號碼由小排到大。
下列主角經歷的過程與相對應的時期配對何者是正確的選項？","1.小新-感覺動作期/小華-具體運思期/小花-前運斯期/小美-形式運思期,    2.小新-感覺動作期/小華-前運思期/小花-感覺動作期/小美-具體運思期,    3.小新-感覺動作期/小華-具體運思期/小花-感覺動作期/小美-前運思期,    4.小新-感覺動作期/小華-前運思期/小花-感覺動作期/小美-前運思期,    ",2,感覺動作期、前運思期、具體運思期、形式運思期、可逆、物體恆存、序列化
1020102,江雅婷,白白是個英文很好的學生，不管是單字、文法、閱讀文章都難不倒他。老師見狀後，決定要更進階的教他一些和有關英文的諺語，但不管老師怎麼教白白就是聽不懂。請問白白正處於皮亞傑的認知發展階段論中的哪一階段？,"1.感覺動作期  ,    2.前運思期,    3.具體運思期,    4.形式運思期,    ",4,形式運思期、抽象思考
1020103,江雅婷,教室裡有四個學生:樂樂喜歡玩推理遊戲，並常常會模擬可行的解決方法；丸丸喜歡唱歌，每次都唱得非常大聲，而沒有注意到是否會打擾到旁邊的人；威廉總是在拿到玩具，就往嘴裡塞；美美喜歡玩俄羅斯娃娃，將娃娃由小到大依序套回。請你根據上列的描述由小到大排出他們的年紀。,"1.威廉<美美<丸丸<樂樂,    2.丸丸<威廉<美美<樂樂,    3.威廉<丸丸<樂樂<美美,    4.威廉<丸丸<美美<樂樂,    ",4,序列化、問題解決、自我中心、感覺動作期、前運思期、具體運思期、形式運思期
1020104,江雅婷,丁丁在學完魚類相關知識後，校外教學參觀水族館時，丁丁指著水族箱內的鯊魚，開心得說那是魚(a)，後來當丁丁看到海豚時他也說那是魚，老師糾正他說：「海豚不是魚類，而是哺乳類。」從此丁丁就知道海豚不是魚(b)。問丁丁會有這樣的行為，是因為他正經歷何種認知歷程?,"1.同化、調適,    2.同化、同化,    3.調適、同化,    4.調適、調適,    ",1,同化、調適
1020105,江雅婷, 在晶晶6歲時，大小相同的蘋果，一顆切成4片，一顆切成6片，晶晶總認為後項切成6片蘋果一定比較大，不管大大怎麼和他解釋，他始終無法理解為什麼兩個蘋果是一樣大的。到了晶晶7歲時，他突然了解到大小相同的蘋果不管它是被切成幾片，蘋果的大小還是一樣的不會改變。請由皮亞傑的發展階段論來解釋晶晶為什麼會有這樣的轉變？,"1.從具體運思期進入前運思期,    2.從前運思期進入形式運思期,    3.從具體運思期進入形式運思期,    4.從前運思期進入具體運思期,    ",4,守恆、前運思期、具體運思
1020201,江雅婷,皮皮在學習走路時，剛開始媽媽會牽著他慢慢地練習，而後媽媽會漸漸鬆手讓皮皮練習自己站立和走路。請問上述的部分是運用哪一個概念？,"1.鷹架構築,    2.自我調整,    3.合作學習,    4.認知見習,    ",1,鷹架
1020202,江雅婷,玲玲因為參加作文比賽獲得了優勝，所以老師當著全班的面表揚她。冬冬則因為在教室玩球不小心打破窗戶，所以就被老師叫到走廊罰站。之後班上的同學就知道可以(A)要多向玲玲學習，也知道(B)不能像冬冬一樣打破窗戶，請問(A)(B)分別代表社會學習理論的何種概念?,"1.替代學習、楷模學習  ,    2.替代學習、替代學習,    3.楷模學習、替代學習 ,    4.楷模學習、楷模學習,    ",3,替代學習、楷模學習
1020203,江雅婷,莉莉在學習摺紙時，老師會先示範一次給她看後，接著開始一步步的教她，莉莉經由不斷的練習，「最後在沒有老師的協助下，也能獨自摺出一隻漂亮的紙鶴」。請問莉莉在「」內的行為，符合觀察學習中的哪一個階段?,"1.注意   ,    2.再生,    3.動機,    4.保留,    ",2,保留、再生
1020204,江雅婷,教室裡有四個學生：花花目不轉睛地看著老師示範的花式調酒；丁丁因為想得到獎金而正在尋找花式調酒的相關比賽參加；曉風站在旁邊跟著老師的示範再次練習著調酒相關的技巧；大大在學習後經不斷的練習，現在即使沒有老師在旁協助下他，他也能獨自做出各種花式調酒的技巧。請你根據上列的描述選出他們各處於哪一階段？,"1.花花:注意/丁丁:動機/曉風:再生/大大:保留,    2.花花:注意/丁丁:再生/曉風:保留/大大:動機,    3.花花:動機/丁丁:再生/曉風:注意/大大:保留,    4.花花:注意/丁丁:動機/曉風:保留/大大:再生,    ",4,注意、保留、再生、動機
1020205,江雅婷,上英文句型課時，老師會先(a)從頭到尾詳細的教導一次，經由不斷的練習後，(b)老師認為學生應該有能力可以回答課本的習題，所以老師就請同學上台試著練習寫句子，(c)看到老師給予答對的同學表揚，小蘭因為也想被表揚所以努力練習(d)建議改成看到老師處罰答錯的同學，佐佐告訴自己千萬不要被處罰，所以更努力想學會。請問上述的(a) (b) (c) (d)依序是運用到哪些概念？,"1.鷹架架設/鷹架撤除/楷模學習/自我調整,    2.鷹架架設/鷹架架設/楷模學習/替代學習,    3.鷹架架設/鷹架撤除/替代學習/楷模學習,    4.鷹架架設/鷹架撤除/楷模學習/替代學習,    ",0,教導不一定會使用到鷹架的概念
